has_preamble,preamble_text,question,answer,subject,subject_topic,form,difficulty,question_type
Yes,Find the limit of the sequence,$a_{n}=\frac{1}{n^{2}+n+1}$,$\frac{1}{2}$,,,,,1
Yes,Find the value of the given expression,$\sin 2 \theta+\sin 4 \theta$ for $\theta=\pi / 4$,$1$,,,,,1
Yes,Find the value of the given expression,$\sin 2 \theta+\sin 4 \theta$ for $\theta=\pi / 4$,$1$,,,,,1
Yes,Find the limit of the given sequence,$\mathrm{a}_{n}=(-1)^{n} / n^{2}$,0,,,,,1
Yes,Find the first three terms of the sequence whose general term is given.,$\mathrm{a}_{n}=3 n+2$,"$5,8,11,14$",,,,,1
Yes,Find the first three terms of the sequence whose general term is given.,$\mathrm{a}_{n}=3 n+2$,"$5,8,11,14$",,,,,1
Yes,Find the first and second derivatives of the given function,$y=x^{2}+5 x-4$,"$y^{\prime}=2 x+5, y^{\prime \prime}=2$",,,,,1
Yes,Find the equation of the line that satisfies the given conditions.,"Slope is $\frac{2}{3}$ and the line passes through the point $(3,-4)$.",$y=\frac{2}{3} x-4$,,,,,1
Yes,Find the area of the surface generated by rotating the given curve about the given axis,"$y=x^{2}, y$ -axis",$$,,,,,1
Yes,Find the area of the surface generated by rotating the given curve about the given axis,"$y=x^{2}, y$ -axis",$$,,,,,1
Yes,Evaluate the limit as $x \rightarrow 0$ of,$\frac{\sin 2 x}{x}$,2,,,,,1
Yes,Find the value of the trigonometric function at the given angle,$\sin 60^{\circ}$,$1 / 2$,,,,,1
Yes,Find the derivative of the given function,$\quad y=\frac{1}{\sqrt{x}}$,$y=-\frac{1}{2} \sqrt{x} / x^{3 / 2}$,,,,,1
Yes,Find the derivative of the given function,$y=\ln (x+1)$,$y^{\prime}=1 / x+1$,,,,,1
Yes,Find the angle between the line segments joining the points $A$ and $B$ and the points $A$ and $C$ if the coordinates of the points are given as,"$A(3,-2)$, $B(1,5)$, $C(5,2)$",$60^{\circ}$,,,,,1
Yes,Find the value of the trigonometric ratio given.,"$\cos 120^{\circ}$, $\sin 120^{\circ}$, $\tan 120^{\circ}$, $\sec 120^{\circ}$, $\csc 120^{\circ}$, $\cot 120^{\circ}$","$-1 / 2, \sqrt{3} / 2, 1, 2,-2 / \sqrt{3},-1$",,,,,1
Yes,Find the derivative of the given function,$\quad y=x^{2}+4 x+1$,$2 x+4$,,,,,1
Yes,Find the equation of the line that is tangent to the given curve at the given point.,"$y=x^{2}-5 x+4$, at $\left(x_{0}, y_{0}\right)=\left(2,0\right)$",$y=-2 x+6$,,,,,1
Yes,Find the equation of the line that is tangent to the given curve at the given point.,"$y=x^{2}-5 x+4$, at $\left(x_{0}, y_{0}\right)=\left(2,0\right)$",$y=-2 x+6$,,,,,1
Yes,"Find the area of the region enclosed by the given curves. (Give your answer correct to three places of decimal)
 Subject:","$y=x^{2}, y=3 x-4$",$12.00 \mathrm{~cm}^{2}$,,,,,1
Yes,"Find the first three terms of the Taylor series for the given function about the given point. Give your answer in the form $y=a_{0}+a_{1} \mathrm{x}+a_{2} \mathrm{x}^{2}+a_{3} \mathrm{x}^{3}+\cdots$ where $a_{0}, a_{1}, a_{2}, a_{3}$ are constants.",$\mathrm{f}(\mathrm{x})=\mathrm{x}^{3}$ about $\mathrm{x}=1$,$y=1+2(\mathrm{x}-1)+3(\mathrm{x}-1)^{2}+4(\mathrm{x}-1)^{3}+\cdots$,,,,,1
Yes,"Find the equation of the tangent line to the given curve at the given point
 Subject: Calculus I","$y=x^{2}-4 x+2, \quad(1,1)$",$y=x-4$,Calculus,,,,1
Yes,"Find the equation of the tangent line to the given curve at the given point
 Subject: Calculus I","$y=x^{2}-4 x+2, \quad(1,1)$",$y=x-4$,Calculus,,,,1
Yes,"Find the slope of the tangent line to the given curve at the given point.
 Subject: Calculus II","$y=x^{2}-4 x+5$ at $(3,2)$",3<|end_of_text|>,Calculus,,,,1
Yes,Evaluate the limit,$\mathrm{lim}_{x \rightarrow 0} \frac{2 x^{2}+3 x+1}{x^{2}}$,2,,,,,1
Yes,Find the limit of the given sequence,$\mathrm{a}_{n}=1 / 2+1 / 2^{2}+1 / 2^{3}+\ldots+1 / 2^{n}$,2,,,,,1
Yes,"Find the area of the region bounded by the given curve and the given lines
 Subject: Calculus I","$y=x^{2}+3, y=2 x, y=0$",$8 \mathrm{~m}^{2}$,Calculus,,,,1
Yes,"Find the area of the region bounded by the given curves.
 Subject: Calculus I","$y=x^{2}, x=1, x=2$",1,Calculus,,,,1
Yes,"Find the area of the region bounded by the given curves.
 Subject: Calculus I","$y=x^{2}, x=1, x=2$",1,Calculus,,,,1
Yes,Find the value of the given trigonometric function.,$\tan 225^{\circ}$,$-\sqrt{3}$,,,,,1
Yes,Find the limit of the given sequence,"$\{3^{n}\}\left(n=1,2,3, \ldots\right)$",3,,,,,1
Yes,Find the value of the constant $c$ for which the given function is continuous at the given point.,"$f(x)=c x^{2}+2 x-4, x=2$","$f(2)=c(4)+4-4=4 c=0, c=0$",,,,,1
Yes,Find the derivative of the function,$y=2 \mathrm{~x}^{2}-3 x+4$,$\mathrm{dy} / \mathrm{dx}=4 \mathrm{x}-3$,,,,,1
Yes,"Find the derivative of the given function with respect to the given variable
 Subject: Calculus I","$y=x^{2}-5 x+4$, $x$",$\mathrm{dy} / \mathrm{dx}=2 x-5$,Calculus,,,,1
Yes,Find the equation of the tangent line to the given curve at the given point,"$\mathrm{y}=2 \mathrm{x}^{2},(1,2)$",$y=4 x-2$,,,,,1
Yes,Find the equation of the tangent line to the given curve at the given point,"$\mathrm{y}=2 \mathrm{x}^{2},(1,2)$",$y=4 x-2$,,,,,1
Yes,Find the linear approximation to the given function at the given point. Give your answer to four decimal places.,$f(x)=\sqrt{x+1}$ at $x=1$,"$f(1)=1.0000, f^{\prime}(x)=1 / 2(1+x)^{-1 / 2}=1 / 2(1+x)^{-1 / 2}=1 / 2(1+x)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^{-1 / 2}=1 / 2(1+1)^",,,,,1
Yes,Find the derivative of the function,$y=x^{2}+2 x+3$,$y^{\prime}=2 x+2$,,,,,1
Yes,"Find the points on the given curve where the tangent line is horizontal or vertical.
 Subject: Mathematics",$\mathrm{y}=\mathrm{x}^{2}-2 \mathrm{x}+1$,"$\mathrm{x}=1,-1, \quad \mathrm{y}=0$",Mathematics,,,,1
Yes,Find the values of the constants $\mathrm{a}$ and $\mathrm{b}$ such that the given function is a solution of the given differential equation.,"$\mathrm{y}=\mathrm{a} \mathrm{x}^{2}+\mathrm{b}$, $\mathrm{y}^{2}=4 \mathrm{x}^{3}$.","$\mathrm{a}=1 / 4$, $\mathrm{b}=1 / 4$",,,,,1
Yes,"Find the area of the region bounded by the given curves.
 Subject: Calculus I","$y=x^{2}, y=2 x, x=0$",16 / 3,Calculus,,,,1
Yes,"Find the second derivative of the given function with respect to $x$.
 Subject:",$f(x)=3 x^{2}-4 x+5$,$6 x-4$,,,,,1
Yes,"Find the second derivative of the given function with respect to $x$.
 Subject:",$f(x)=3 x^{2}-4 x+5$,$6 x-4$,,,,,1
Yes,Find the rate of change of the given function with respect to $x$ at the indicated point.,$y=x^{2}-3 x+2$ at $x=1$,$-1 \quad[2 x-3=2(1)-3=-1]$<|end_of_text|>,,,,,1
Yes,Find the derivative of the given function with respect to the given variable.,$\mathrm{y}=2 \mathrm{x}^{3}+3 \mathrm{x}^{2}-4 \mathrm{x}+1$ with respect to $x$,$6 \mathrm{x}^{2}+6 \mathrm{x}-4$<|end_of_text|>,,,,,1
Yes,Find the volume of the solid obtained by rotating the region bounded by the given curves about the given line,"$y=2 x, y=0, x=1$ about the $y$ -axis",$2 \pi / 3 \mathrm{~m}^{3}$,,,,,1
Yes,Find the volume of the solid obtained by rotating the region bounded by the given curves about the given line,"$y=2 x, y=0, x=1$ about the $y$ -axis",$2 \pi / 3 \mathrm{~m}^{3}$,,,,,1
Yes,"Find the first and second derivatives of the given function.
 Subject: Calculus I",$y=2 x^{3}-3 x^{2}+6 x-2$,"$y^{\prime}=6 x^{2}-6 x+6, y^{\prime \prime}=12 x-6$<|end_of_text|>",Calculus,,,,1
Yes,"Find the point on the curve where the tangent is parallel to the given line.
 Subject: Calculus I","$y=x^{2}-4$, the line $y=3 x-5$","$(2,-1)$",Calculus,,,,1
Yes,"Find the point on the curve where the tangent is parallel to the given line.
 Subject: Calculus I","$y=x^{2}-4$, the line $y=3 x-5$","$(2,-1)$",Calculus,,,,1
Yes,Find the points on the curve where the tangent is horizontal or vertical.,$y=x^{3}-x^{2}$,"Horizontal tangent: $x=0,1$",,,,,1
Yes,Find the first derivative of the given function,$f(x)=\sqrt{x^{2}+1}$,$f^{\prime}(x)=\frac{2 x}{2 \sqrt{x^{2}+1}}=\frac{x}{\sqrt{x^{2}+1}}$,,,,,1
Yes,Find the first derivative of the given function,$y=\sqrt{x^{2}+5}$,$y^{\prime}=x / \sqrt{x^{2}+5}$,,,,,1
Yes,Evaluate the given limit,$\lim _{x \rightarrow 1} \frac{2 x^{2}-3 x+1}{x-1}$,5,,,,,1
Yes,"Find the equation of the line that is tangent to the given curve at the point $(x,y)$","$y=x^{2}-4$, $(x,y)=(3,5)$",$y=5x-10$,,,,,1
Yes,Find the equation of the tangent to the curve at the given point,"$y=x^{2}+3,(-1,4)$",$y=-2 x+5$,,,,,1
Yes,Find the equation of the tangent to the curve at the given point,"$y=x^{2}+3,(-1,4)$",$y=-2 x+5$,,,,,1
Yes,Evaluate the limit,$\lim _{x \rightarrow 1} \frac{x^{2}-2 x+1}{x-1}$,$3$,,,,,1
Yes,Find the second derivative of the given function,$\mathrm{y}=2 \mathrm{x}^{3}-3 \mathrm{x}^{2}+5 \mathrm{x}+6$,$\mathrm{y}^{\prime \prime}=-12 \mathrm{x}-6$,,,,,1
Yes,Find the value of the constant $k$ so that the given differential equation has the given solution.,"$\mathrm{dy} / \mathrm{dx}=k y^{2}, y=1 / x$",$k=-1$,,,,,1
Yes,Find the value of the constant $k$ so that the given differential equation has the given solution.,"$\mathrm{dy} / \mathrm{dx}=k y^{2}, y=1 / x$",$k=-1$,,,,,1
Yes,"Find the derivative of the given function with respect to the given variable.
 Subject: Calculus I","$\mathrm{y}=x^{2}-4 x+2$, with respect to $\mathrm{x}$",$\mathrm{y}^{\prime}=2 x-4$,Calculus,,,,1
Yes,Find the derivative of the given function,$y=\cos x+\sin x$,$\mathrm{d} y / \mathrm{d} x=-\sin x+\cos x$,,,,,1
Yes,Evaluate,$\log _{10} 1 / 1000$,$-3$,,,,,1
Yes,"Find the area under the given curve
 Subject: Calculus I","$y=x^{2}+3,0 \leq x \leq 1$",$2 / 3$,Calculus,,,,1
Yes,"Find the area under the given curve
 Subject: Calculus I","$y=x^{2}+3,0 \leq x \leq 1$",$2 / 3$,Calculus,,,,1
Yes,"Find the volume of the solid obtained by rotating the given region about the given axis.
 Subject: Calculus III",The region bounded by the curve $y=x^{2}-x+1$ and the $x$-axis rotated about the $x$-axis.,$\pi \int_{0}^{1}\left(2 x-x^{2}\right) d x=2 \pi / 3$<|end_of_text|>,Calculus,,,,1
Yes,Evaluate the given definite integral,$\int_{0}^{1} x^{2} d x$,3-Jan,,,,,1
Yes,"Find the first and second derivatives of the given function.
 Subject: Calculus I",$y=\left(x^{2}-3 x+2\right)^{2}$,$y^{\prime}=2\left(x^{2}-3 x+2\right)\left(2 x-3\right)$,Calculus,,,,1
Yes,"Find the derivative of the given function with respect to the given variable
 Subject: Calculus III","$f(x, y)=x^{2} y^{3}$, $y=4 x^{2}$",$8 x^{5}-16 x^{4} y^{3}$,Calculus,,,,1
Yes,"Find the first derivative of the given function with respect to the given variable.
 Subject: Calculus I",$y=\ln x$,$y^{\prime}=1 / x$,Calculus,,,,1
Yes,Find the derivative of the function,$\mathrm{y}=4 \mathrm{x}^{3}-6 \mathrm{x}^{2}+3 \mathrm{x}+5$,$\mathrm{y}^{\prime}=12 \mathrm{x}^{2}-12 \mathrm{x}+3$,,,,,1
Yes,"Find the volume of the solid obtained by rotating the region bounded by the given curves about the given line.
 Subject: Calculus I","$y=x^{2}, x=1, y=0, y=2, x$ axis",$8 \pi / 3$,Calculus,,,,1
Yes,Find the limit,$\mathrm{L}=\lim _{x \rightarrow 1} \frac{\mathrm{x}^{2}-1}{\mathrm{x}-1}$,$2$,,,,,1
Yes,Find the limit,$\mathrm{L}=\lim _{x \rightarrow 1} \frac{\mathrm{x}^{2}-1}{\mathrm{x}-1}$,$2$,,,,,1
Yes,Find the point of intersection of the given lines,"$x-3 y=0, 3 x-y=0$","$(3,1)$",,,,,1
No,None,"In a triangle, the sum of the lengths of two sides is $20 \mathrm{~cm}$ and the length of the third side is $10 \mathrm{~cm}$. Find the length of the median to the largest side.",$15 \mathrm{~cm}$,Mathematics,,,,1
No,None,"Find the angle between the vectors $\mathbf{a}=\left(2,1,-1\right)$ and $\mathbf{b}=\left(1,3,2\right)$",$53^{\circ} 40^{\prime}$,Trigonometry,,,,1
No,None,"In a right-angled triangle, the angle between the sides of lengths 3 and 4 is $60^{\circ}$. Find the length of the hypotenuse.",5,Trigonometry,,,,1
No,None,Find the angle between the hands of a clock at 6:00 p.m.,$90^{\circ}$,Mathematics,,,,1
No,None,Find the value of $x$ if $\sin x=\cos x$,$x=45^{\circ}$,Mathematics,,,,1
No,None,Find the value of $x$ if $\sin x=\cos x$,$x=45^{\circ}$,Mathematics,,,,1
No,None,Find the value of $\cos \left(\cos ^{-1} \frac{1}{2}+\cos ^{-1} \frac{1}{3}\right)$,$\frac{1}{2}$,Trigonometry,,,,1
No,None,"If $sin A=1 / 2$, find the value of $cos A$.",$1 / \sqrt{5}$,Trigonometry,,,,1
No,None,"If $A$ and $B$ are angles such that $\sin A=\frac{1}{3}$ and $\cos B=\frac{2}{3}$, find $\sin \left(A+B\right)$.",$\frac{1}{3}+\frac{2}{3}=\frac{3}{3}=1$,Mathematics,,,,1
No,None,"In a right-angled triangle, the sine of the angle is 0.3 and the cosine of the angle is 0.9. Find the angle.",$90^{\circ}$,Trigonometry,,,,1
No,None,"In a right-angled triangle, the sine of the angle is 0.3 and the cosine of the angle is 0.9. Find the angle.",$90^{\circ}$,Trigonometry,,,,1
No,None,"Find the area of a triangle with sides 20, 30 and 40 cm.",300 cm2<|end_of_text|>,Trigonometry,,,,1
No,None,"If $\cos \alpha=3 / 5$, evaluate $\sin \alpha$.",$\sin \alpha=\pm \sqrt{1-\cos ^{2} \alpha}=\pm \sqrt{1-9 / 25}=\pm \sqrt{16 / 25}=\pm 4 / 5$,Trigonometry,,,,1
No,None,"In a certain sequence of numbers, each term is obtained by adding 1 to the previous term. If the second term is 4, what is the third term?",$5$,Mathematics,,,,1
No,None,"In a certain sequence of numbers, each term is obtained by adding 1 to the previous term. If the second term is 4, what is the third term?",$5$,Mathematics,,,,1
No,None,Find the measure of the angle between the hands of a clock at 10.30am.,$50^{\circ}$<|end_of_text|>,Trigonometry,,,,1
No,None,"If $\cos A=4 / 5$ and $A$ is an acute angle, find the value of $\sin A$.",$3 / 5$,Trigonometry,,,,1
No,None,"If $\cos A=2 / 3$ and $\sin B=1 / 2$, find $\cos (A+B)$.",$5 / 6$,Trigonometry,,,,1
No,None,Find the measure of the angle between the vectors $3 \hat{i}+2 \hat{j}$ and $2 \hat{i}-5 \hat{j}$.,$$,Mathematics,,,,1
No,None,"If $\tan \alpha=\frac{1}{2}$, find the value of $\tan \left(60^{\circ}+\alpha\right)$",$-\frac{3}{5}$,Mathematics,,,,1
No,None,Find the value of $\sin 20^{\circ} \cos 20^{\circ}+\sin 30^{\circ} \cos 50^{\circ}$,$\frac{1}{2}$,Trigonometry,,,,1
No,None,Find the trigonometric ratio $\cos 30^{\circ}$ in terms of $\sin 30^{\circ}$.,$\frac{1}{2} \sqrt{3} \sin 30^{\circ}$,Trigonometry,,,,1
No,None,Find the measure of the smaller angle between the hands of a clock when the hour hand is at $6 \mathrm{~h}$ and the minute hand is at $10 \mathrm{~m}$.,120Â°,Trigonometry,,,,1
No,None,Find the measure of the smaller angle between the hands of a clock when the hour hand is at $6 \mathrm{~h}$ and the minute hand is at $10 \mathrm{~m}$.,120Â°,Trigonometry,,,,1
No,None,"Find the exact value of the angle $\theta$ in the given triangle if $A=60^{\circ}, B=30^{\circ}$ and $\tan \theta=3 / 4$",$60^{\circ}$,Trigonometry,,,,1
No,None,Find the value of $\mathrm{x}$ if $2^{x+1}=64^{x-1}$,$\mathrm{x}=2$,Mathematics,,,,1
No,None,"Find the area of the triangle whose sides are $3 \mathrm{~cm}, 4 \mathrm{~cm}$ and $5 \mathrm{~cm}$.",$8 \mathrm{~cm}^{2}$,Trigonometry,,,,1
No,None,"Find the area of the triangle whose sides are $3 \mathrm{~cm}, 4 \mathrm{~cm}$ and $5 \mathrm{~cm}$.",$8 \mathrm{~cm}^{2}$,Trigonometry,,,,1
No,None,Find the measure of the acute angle between the two lines $\mathrm{y}=2 \mathrm{x}-4$ and $\mathrm{y}=-3 \mathrm{x}+6$.,$45^{\circ}$,Trigonometry,,,,1
No,None,"If $\cos A=3 / 5$, find $\sin A$.",$\frac{4}{5}$,Mathematics,,,,1
No,None,Find the value of $\sin \theta$ if $\cos \theta=0.5$ and $\theta$ is in the second quadrant.,$-\sqrt{3} / 2$,Trigonometry,,,,1
No,None,Find the value of $\sin \theta$ if $\cos \theta=0.5$ and $\theta$ is in the second quadrant.,$-\sqrt{3} / 2$,Trigonometry,,,,1
No,None,Find the length of the side opposite to an angle of $60^{\circ}$ in a triangle whose sides are $6 \mathrm{~cm}$ and $8 \mathrm{~cm}$.,$5 \mathrm{~cm}$,Trigonometry,,,,1
No,None,"If $\cos \theta=3 / 5$, find the value of $\sin \theta$.",5-Apr,Trigonometry,,,,1
No,None,Find the value of $\theta$ given that $\cos \theta=3 / 5$ and $\theta$ lies in the first quadrant.,36.9 degrees,Mathematics,,,,1
No,None,Find the value of $\theta$ given that $\cos \theta=3 / 5$ and $\theta$ lies in the first quadrant.,36.9 degrees,Mathematics,,,,1
No,None,A circle has a diameter of 16 cm. Find the radius of the circle.,8 cm<|end_of_text|>,Mathematics,,,,1
No,None,"Find the area of a triangle with sides of length $5 \mathrm{~cm}, 12 \mathrm{~cm}$ and $13 \mathrm{~cm}$",$24 \mathrm{~cm}^{2}$,Trigonometry,,,,1
No,None,"If $\mathrm{x}$ and $\mathrm{y}$ are positive numbers such that $\mathrm{x}+\mathrm{y}=10$, find the range of values of $\mathrm{x}$ for which $\mathrm{x}^{2}+\mathrm{y}^{2}$ is minimum.",$\left[\mathrm{x}^{2}+\mathrm{y}^{2}=(\mathrm{x}+\mathrm{y})^{2}-2 \mathrm{xy}=100-2 \mathrm{xy}=100-2 \mathrm{xy}=100-2 \mathrm{x}(10-\mathrm{x})=100-20 \mathrm{x}+2 \mathrm{x}^{2}=2(\mathrm{x}^{2}-10 \mathrm{x}+50)\right.$,Mathematics,,,,1
No,None,"If $\mathrm{x}$ and $\mathrm{y}$ are positive numbers such that $\mathrm{x}+\mathrm{y}=10$, find the range of values of $\mathrm{x}$ for which $\mathrm{x}^{2}+\mathrm{y}^{2}$ is minimum.",$\left[\mathrm{x}^{2}+\mathrm{y}^{2}=(\mathrm{x}+\mathrm{y})^{2}-2 \mathrm{xy}=100-2 \mathrm{xy}=100-2 \mathrm{xy}=100-2 \mathrm{x}(10-\mathrm{x})=100-20 \mathrm{x}+2 \mathrm{x}^{2}=2(\mathrm{x}^{2}-10 \mathrm{x}+50)\right.$,Mathematics,,,,1
No,None,The angles of a triangle are in the ratio $2:3:4$. Find the largest angle of the triangle.,$120^{\circ}$,Mathematics,,,,1
No,None,"If $y=x^{2}+2 x+1$, find $d y / d x$ when $x=2$",$5$,Mathematics,,,,1
No,None,Find the value of $x$ in the given equation: $\log _{2} x=1 / 3$,$8$,Mathematics,,,,1
No,None,"Find the area of the triangle formed by the point (2, 3) on the hypotenuse of a right-angled triangle whose sides are 5 and 4.",6 units,Trigonometry,,,,1
No,None,"If $\sin A=3 / 5$, find the value of $\cos A$.",$4 / 5$,Mathematics,,,,1
No,None,"In a right-angled triangle, the lengths of the sides are $20 \mathrm{~cm}, 15 \mathrm{~cm}$ and $25 \mathrm{~cm}$. Find the cosine of the angle between the sides of length $20 \mathrm{~cm}$ and $15 \mathrm{~cm}$.",$\frac{3}{5}$,Trigonometry,,,,1
No,None,"In a right-angled triangle, the lengths of the sides are $20 \mathrm{~cm}, 15 \mathrm{~cm}$ and $25 \mathrm{~cm}$. Find the cosine of the angle between the sides of length $20 \mathrm{~cm}$ and $15 \mathrm{~cm}$.",$\frac{3}{5}$,Trigonometry,,,,1
No,None,Find the value of $\cos 30^{\circ}-\cos 60^{\circ}$,$-\frac{1}{2}$,Trigonometry,,,,1
No,None,Find the roots of the quadratic equation $2 x^{2}-2 x-3=0$,"$x=1,-3 / 2$",Mathematics,,,,1
No,None,The angles of a triangle are in the ratio 2:3:5. Find the largest angle.,$60^{\circ}$,Trigonometry,,,,1
No,None,Find the value of $\theta$ to the nearest degree if $\cos \theta=3 / 5$ and $\sin \theta=4 / 5$.,$36^{\circ}$,Trigonometry,,,,1
No,None,Find the value of $\theta$ to the nearest degree if $\cos \theta=3 / 5$ and $\sin \theta=4 / 5$.,$36^{\circ}$,Trigonometry,,,,1
No,None,The sum of the reciprocals of two consecutive odd integers is 1/5. Find the integers.,7 and 9,Mathematics,,,,1
No,None,"Find the area of a triangle with sides of length 4, 5, and 6 cm.",12 cm$^{2}$,Trigonometry,,,,1
No,None,Find the value of $\theta$ given that $\tan \theta=4 / 3$ and $\cos \theta<0$.,"$330^{\circ}, 150^{\circ}$",Trigonometry,,,,1
No,None,Find the length of the side opposite to the angle $A$ in a right-angled triangle whose sides are $5 \mathrm{~cm}$ and $12 \mathrm{~cm}$ respectively.,$13 \mathrm{~cm}$,Trigonometry,,,,1
No,None,Find the sum of the first 12 terms of the geometric sequence whose second term is $6 \mathrm{~cm}$ and whose fifth term is $24 \mathrm{~cm}$.,$192 \mathrm{~cm}$,Mathematics,,,,1
No,None,Find the sum of the first 12 terms of the geometric sequence whose second term is $6 \mathrm{~cm}$ and whose fifth term is $24 \mathrm{~cm}$.,$192 \mathrm{~cm}$,Mathematics,,,,1
No,None,Find the least positive number whose cube is divisible by $1200$,80<|end_of_text|>,Mathematics,,,,1
No,None,Find the exact value of $\cos 15^{\circ}$,$0.968912$,Trigonometry,,,,1
No,None,"If $\cos A=3 / 5$ and $\sin B=4 / 5$, find the value of $\cos (A+B)$.",$3 / 5$,Trigonometry,,,,1
No,None,Find the value of $\sin 2 \theta$ given that $\cos \theta=3 / 5$ and $0 \leq \theta<\pi / 2$,$8 / 17$,Trigonometry,,,,1
